,Site,Rate,N,Average Rate (m/yr),MAE (m/yr)
0,Rangitikei,All,25,0.9469227164796323,1.6183742053041599
1,Rangitikei,< 1 m/yr,19,0.2521279325732441,1.8484752956220807
2,Rangitikei,> 1 m/yr,6,3.1471061988498614,0.8897207526307426
3,Bird,All,17,2.8773577527073164,1.6190565975598046
4,Bird,< 1 m/yr,2,0.6442357676692547,2.366787146552787
5,Bird,> 1 m/yr,15,3.1751073507123917,1.5193591910274071
6,Both,All,42,1.7282892787622666,1.6186504116933493
7,Both,< 1 m/yr,21,0.2894715359157213,1.8978383290440528
8,Both,> 1 m/yr,21,3.1671070216088117,1.3394624943426459
