,Site,Rate,N,Average Rate (m/yr),MAE (m/yr)
0,Rangitikei,All,25,0.9469227164796323,0.7509424827352974
1,Rangitikei,< 1 m/yr,19,0.2521279325732441,0.4693838350600659
2,Rangitikei,> 1 m/yr,6,3.1471061988498614,1.6425448670401968
3,Bird,All,17,2.8773577527073164,0.8420236276409264
4,Bird,< 1 m/yr,2,0.6442357676692547,0.28211560078846537
5,Bird,> 1 m/yr,15,3.1751073507123917,0.9166780312212547
6,Both,All,42,1.7282892787622666,0.7878086604351948
7,Both,< 1 m/yr,21,0.2894715359157213,0.45154876512943726
8,Both,> 1 m/yr,21,3.1671070216088117,1.1240685557409522
