,Site,Rate,N,Average Rate (m/yr),MAE (m/yr)
0,Rangitikei,All,25,0.9469227164796323,0.8063901124269276
1,Rangitikei,< 1 m/yr,19,0.2521279325732441,0.46979479002010144
2,Rangitikei,> 1 m/yr,6,3.1471061988498614,1.8722753000485437
3,Bird,All,17,2.8773577527073164,1.1278841510136626
4,Bird,< 1 m/yr,2,0.6442357676692547,0.01306491980377894
5,Bird,> 1 m/yr,15,3.1751073507123917,1.2765267151749802
6,Both,All,42,1.7282892787622666,0.9365186518548918
7,Both,< 1 m/yr,21,0.2894715359157213,0.42629670714235646
8,Both,> 1 m/yr,21,3.1671070216088117,1.446740596567427
